order_id,order_item_id,courier_code,over_ride
402-2390578-8708300,50217416989602,AMXUAE,
402-6777923-0971543,50209774362842,AMXUAE,
403-2051687-5303539,50203719714202,AMXUAE,
403-4463823-3781137,50180706158802,AMXUAE,
405-5905153-3894736,50178399865442,AMXUAE,
404-1458458-5889169,50207345626402,AMXUAE,
403-1634556-8369931,50202896016682,AMXUAE,
402-2979007-9085951,50202678249802,AMXUAE,
402-5913611-3615549,50190241794522,AMXUAE,
403-8825972-8640345,50184836412682,AMXUAE,
406-9871101-1412326,50192944291922,AMXUAE,
402-1036665-4245968,50197711492922,AMXUAE,
408-8420363-3384308,50186728316722,AMXUAE,
405-4115890-6954732,50194507768602,AMXUAE,
403-2358125-9402713,50195505052802,AMXUAE,
403-9810723-8458755,50194381887042,AMXUAE,
408-1324377-1965123,50197733588242,AMXUAE,
408-9290833-2166710,50186514354122,AMXUAE,
405-6598743-0633156,50034669046882,AMXUAE,
405-8381138-5013146,50198136190562,AMXUAE,
403-8675025-6062712,50174733594482,AMXUAE,
406-7699223-7355531,50165669362682,AMXUAE,
171-0022507-5525145,50170210104962,AMXUAE,
404-9817161-3521154,50169452595442,AMXUAE,
405-6030860-5924323,50174156522042,AMXUAE,
406-3409784-2271521,50165806730442,AMXUAE,
404-1739253-6671532,50171486565642,AMXUAE,
408-3558254-2945133,50169295927002,AMXUAE,
406-8244634-9978730,50167134667002,AMXUAE,
406-4652047-3100348,50164967954122,AMXUAE,
408-7240836-1047514,50177016885002,AMXUAE,
402-4370895-3101128,50176959247842,AMXUAE,
404-0910686-3665901,50166143822722,AMXUAE,
407-5893431-3603500,50165122385602,AMXUAE,
402-1006395-9638768,50158441711882,AMXUAE,
405-8892998-7520345,50162055213802,AMXUAE,
408-8164772-0576345,50162013114762,AMXUAE,
171-8509698-5576300,50161225345122,AMXUAE,
405-2008814-8605944,50159908892682,AMXUAE,
405-8595015-7243569,50041015735122,AMXUAE,
406-4041319-6868336,50020750861242,AMXUAE,
404-4508059-4689956,49993438542722,AMXUAE,
402-4301805-6524342,50160589102042,AMXUAE,
171-5693446-9053169,50157196384082,AMXUAE,
406-8389063-1768331,50160852010682,AMXUAE,
405-0035215-2759545,50160599259122,AMXUAE,
406-0316228-7828317,50154066358082,AMXUAE,
408-7180670-0901918,50076174509202,AMXUAE,
403-5063473-6785156,50149937118162,AMXUAE,
402-0159547-2259511,50139557307122,AMXUAE,
406-3579378-8769108,50142859971122,AMXUAE,
405-5412897-5883521,50135585136442,AMXUAE,
406-4795868-6193923,50140331636442,AMXUAE,
402-9337589-1030742,50118113539082,AMXUAE,
406-8267837-5801936,50079953245202,AMXUAE,
403-6453352-1231544,50079138928362,AMXUAE,
407-0813289-0196348,50112243331562,AMXUAE,
407-5358058-7859532,50067795838202,AMXUAE,
408-9833373-6949914,50066376502762,AMXUAE,
171-5050082-9829109,50047235922362,AMXUAE,
403-1991635-8095504,50066118114602,AMXUAE,
171-1391344-7434756,50047907758322,AMXUAE,
403-3521968-2423569,50044742996042,AMXUAE,
407-7718339-4429109,50213901036162,AMXUAE,
407-9568450-2230726,50157097583082,AMXUAE,
408-8769813-4416341,50003478284562,AMXUAE,
405-8771535-7821968,50020260897402,AMXUAE,
403-5146396-4880322,50009350846242,AMXUAE,
407-4452211-3023533,49985478739322,AMXUAE,
407-6631178-4404305,49948810245202,AMXUAE,
171-0893627-3278761,49941334236882,AMXUAE,
404-9215658-0658750,50201109235922,IMILEUAE,
408-1073288-7981155,50206880002362,IMILEUAE,
405-9370524-2433902,50206609594482,IMILEUAE,
407-6790662-9926761,50205381541762,IMILEUAE,
405-9577317-9884353,50202110752962,IMILEUAE,
407-8462987-3420359,50206746648242,IMILEUAE,
402-3672991-1157960,50204106410242,IMILEUAE,
406-7484862-8117104,50205491583442,IMILEUAE,
407-6745091-9602717,50204794709082,IMILEUAE,
405-3287467-6212358,50206915095642,IMILEUAE,
403-7684201-2454753,50205950783122,IMILEUAE,
403-0594030-7330703,50205334784602,IMILEUAE,
408-6683824-6561144,50207524641682,IMILEUAE,
403-9968606-2083565,50204608418842,IMILEUAE,
